event_id,round,player1_user_id,player1_army,player1_game_primary_points,player1_game_number,player1_game_points,player1_game_result,player1_game_result_cat,player1_game_margin_of_victory,player2_user_id,player2_army,player2_game_primary_points,player2_game_number,player2_game_points,player2_game_result,player2_game_result_cat,player2_game_margin_of_victory
iijomHcUnO,2,ZAzkij0uDD,Legionary,4.0,2.0,14.0,2.0,win,11.0,yVNCk0HSRH,Phobos Strike Team,0.0,2.0,3.0,0.0,loss,-11.0
iijomHcUnO,2,QXTTvp88U6,Ork Kommandos,4.0,2.0,10.0,2.0,win,2.0,RFmaXAAMwJ,Novitiates,1.0,2.0,8.0,0.0,loss,-2.0
iijomHcUnO,3,ojGuArpy3k,Void-Dancer Troupe,3.0,3.0,11.0,2.0,win,7.0,y1kxqHom1A,Veteran Guardsmen,2.0,3.0,4.0,0.0,loss,-7.0
iijomHcUnO,3,u2ABcK31P9,Hunter Clade,6.0,3.0,18.0,2.0,win,16.0,ZAzkij0uDD,Legionary,1.0,3.0,2.0,0.0,loss,-16.0
iijomHcUnO,3,ob8uu1v9WP,Corsair Voidscarred,6.0,3.0,18.0,2.0,win,10.0,FsU5FmLHVp,Void-Dancer Troupe,6.0,3.0,8.0,0.0,loss,-10.0
iijomHcUnO,3,qXeLBsTl1Y,Warp Coven,0.0,3.0,2.0,0.0,loss,-6.0,yVNCk0HSRH,Phobos Strike Team,2.0,3.0,8.0,2.0,win,6.0
iijomHcUnO,3,wYg8tRadNs,Wyrmblade,2.0,3.0,4.0,0.0,loss,-14.0,ATs2mp6nx3,Veteran Guardsmen,6.0,3.0,18.0,2.0,win,14.0
iijomHcUnO,3,XvMyGqrDhz,Novitiates,0.0,3.0,0.0,0.0,loss,0.0,GwlDp9UvSS,Pathfinders,0.0,3.0,0.0,0.0,loss,0.0
iijomHcUnO,3,RK3EqAC2jC,Pathfinders,1.0,3.0,2.0,0.0,loss,-13.0,ofvBQdXetz,Ork Kommandos,3.0,3.0,15.0,2.0,win,13.0
iijomHcUnO,3,ik83iQBMRQ,Veteran Guardsmen,6.0,3.0,18.0,2.0,win,13.0,QXTTvp88U6,Ork Kommandos,4.0,3.0,5.0,0.0,loss,-13.0
iijomHcUnO,3,psmf8I4OQ8,Ork Kommandos,6.0,3.0,18.0,2.0,win,15.0,RFmaXAAMwJ,Novitiates,1.0,3.0,3.0,0.0,loss,-15.0
iijomHcUnO,4,GwlDp9UvSS,Pathfinders,0.0,4.0,0.0,0.0,loss,0.0,XvMyGqrDhz,Novitiates,0.0,4.0,0.0,0.0,loss,0.0
iijomHcUnO,4,qXeLBsTl1Y,Warp Coven,1.0,4.0,6.0,0.0,loss,-11.0,RK3EqAC2jC,Pathfinders,5.0,4.0,17.0,2.0,win,11.0
iijomHcUnO,4,ob8uu1v9WP,Corsair Voidscarred,3.0,4.0,7.0,0.0,loss,-10.0,wYg8tRadNs,Wyrmblade,5.0,4.0,17.0,2.0,win,10.0
iijomHcUnO,4,ATs2mp6nx3,Veteran Guardsmen,4.0,4.0,16.0,2.0,win,11.0,ojGuArpy3k,Void-Dancer Troupe,2.0,4.0,5.0,0.0,loss,-11.0
iijomHcUnO,4,u2ABcK31P9,Hunter Clade,6.0,4.0,18.0,2.0,win,15.0,ik83iQBMRQ,Veteran Guardsmen,1.0,4.0,3.0,0.0,loss,-15.0
iijomHcUnO,4,y1kxqHom1A,Veteran Guardsmen,6.0,4.0,18.0,2.0,win,8.0,FsU5FmLHVp,Void-Dancer Troupe,6.0,4.0,10.0,0.0,loss,-8.0
iijomHcUnO,4,yVNCk0HSRH,Phobos Strike Team,1.0,4.0,5.0,1.0,tie,0.0,RFmaXAAMwJ,Novitiates,1.0,4.0,5.0,1.0,tie,0.0
iijomHcUnO,4,ofvBQdXetz,Ork Kommandos,1.0,4.0,11.0,1.0,tie,0.0,ZAzkij0uDD,Legionary,5.0,4.0,11.0,1.0,tie,0.0
